City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Egvekinot,RU,66.3167,-179.1667,-5.3,90,26,2.95,scattered clouds
285,Mpanda,TZ,-6.3655,31.0409,65.7,94,100,1.74,overcast clouds
286,Woodstock,CA,43.1334,-80.7497,11.21,65,75,6.11,broken clouds
287,Thinadhoo,MV,0.5333,72.9333,80.4,62,21,7.9,few clouds
288,Zemetchino,RU,53.4973,42.6163,15.01,94,99,12.03,snow
289,Tukrah,LY,32.5341,20.5791,55.22,67,28,10.2,scattered clouds
290,Krasnoarmeysk,RU,51.0239,45.6969,2.7,99,82,4.9,broken clouds
291,Bandrele,YT,-12.9067,45.1914,76.75,88,0,3.44,clear sky
292,Bad Sachsa,DE,51.595,10.5555,38.26,87,100,6.24,overcast clouds
293,Kodoli,IN,16.8833,74.2,62.49,46,5,6.24,clear sky
294,Maldonado,UY,-34.6667,-54.9167,72.79,64,4,9.73,clear sky
295,Sitka,US,57.0531,-135.33,44.49,81,100,5.75,light rain
296,Port-Gentil,GA,-0.7193,8.7815,78.76,94,20,0.0,few clouds
297,Nantucket,US,41.2835,-70.0995,35.71,78,100,4.05,light snow
298,Ambilobe,MG,-13.2,49.05,73.92,91,96,2.04,overcast clouds
299,Rock Sound,BS,24.9,-76.2,76.64,75,100,17.36,overcast clouds
300,Codrington,AU,-38.2667,141.9667,63.28,77,95,11.59,overcast clouds
301,Shunyi,CN,40.125,116.6453,24.75,36,0,6.71,clear sky
302,Darhan,MN,49.4867,105.9228,-15.86,99,67,1.86,broken clouds
303,Maceio,BR,-9.6658,-35.7353,81.84,78,75,10.36,broken clouds
304,Saldanha,ZA,-33.0117,17.9442,64.45,81,0,22.26,clear sky
305,Dharchula,IN,29.85,80.5333,42.1,35,0,7.94,clear sky
306,Evensk,RU,61.95,159.2333,16.93,69,100,29.33,overcast clouds
307,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,86,75,11.18,light shower snow
308,Ambon,ID,-3.6954,128.1814,77.14,88,20,5.75,few clouds
309,Qasigiannguit,GL,68.8193,-51.1922,17.85,56,100,22.62,overcast clouds
310,Teno,CL,-34.8667,-71.1833,81.95,42,0,5.75,clear sky
311,Chimore,BO,-16.9833,-65.1333,78.3,92,100,1.83,overcast clouds
312,Jacksonville,US,30.3322,-81.6556,57.85,61,100,3.0,overcast clouds
313,Aripuana,BR,-9.1667,-60.6333,75.47,97,80,2.62,light rain
314,Totolapan,MX,18.5167,-96.1833,74.93,73,93,13.27,overcast clouds
315,La Sarre,CA,48.8002,-79.1996,-8.75,93,29,2.37,scattered clouds
316,Flinders,AU,-34.5833,150.8552,77.25,82,12,5.99,few clouds
317,Mayo,US,38.8876,-76.5119,37.11,90,100,4.0,snow
318,Kaeo,NZ,-35.1,173.7833,71.33,63,100,14.76,overcast clouds
319,Tazovskiy,RU,67.4667,78.7,0.99,97,98,6.22,overcast clouds
